source,codice,denominazione,categoria,sottocategoria,rito,fase_processuale,termine,giorni,mesi,anni,decorrenza,natura,norma,criticita,classificazione_import,calcolabile_automaticamente,direction,matter_type,term_rule_code,nota_import
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_DISTANZE_LEGALI_COSTRUZIONI_130011,Distanze legali tra costruzioni (artt. 873 e ss. c.c.),Diritti reali - rapporti di vicinato,"Azione per rispetto distanze legali tra costruzioni (edifici, muri, alberi, finestre, vedute)",Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA (diritti reali),costituzione,Termine a comparire,120,,,,minimo legale post-Cartabia,,,calcolabile_giorni,True,forward,civil,GP_TERM_463045008EE2,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_DISTANZE_LEGALI_COSTRUZIONI_130011,Distanze legali tra costruzioni (artt. 873 e ss. c.c.),Diritti reali - rapporti di vicinato,"Azione per rispetto distanze legali tra costruzioni (edifici, muri, alberi, finestre, vedute)",Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA (diritti reali),costituzione,Costituzione convenuto,70,,,prima udienza,perentorio,,,calcolabile_giorni,True,backward,civil,GP_TERM_0BADD7DFF718,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_SCIOGLIMENTO_SOCIETA_PERSONE_211001,Scioglimento giudiziale della società di persone (artt. 2272 e ss. c.c.),Diritto societario - vicende estintive società di persone,"Azione per scioglimento e liquidazione società semplice, s.n.c., s.a.s.",Rito ordinario di cognizione,costituzione,Termine per ricostituzione pluralità soci,,6,,uscita ultimo socio,decadenziale,art. 2272 n. 4 c.c.,,calcolabile_mesi,True,forward,admin,GP_TERM_F11E2D7F8829,Importabile come template mesi se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_SCIOGLIMENTO_SOCIETA_PERSONE_211001,Scioglimento giudiziale della società di persone (artt. 2272 e ss. c.c.),Diritto societario - vicende estintive società di persone,"Azione per scioglimento e liquidazione società semplice, s.n.c., s.a.s.",Rito ordinario di cognizione,costituzione,Termine a comparire,120,,,,minimo legale post-Cartabia,,,calcolabile_giorni,True,forward,admin,GP_TERM_50ABCA8124A0,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_SCIOGLIMENTO_SOCIETA_PERSONE_211001,Scioglimento giudiziale della società di persone (artt. 2272 e ss. c.c.),Diritto societario - vicende estintive società di persone,"Azione per scioglimento e liquidazione società semplice, s.n.c., s.a.s.",Rito ordinario di cognizione,costituzione,Costituzione convenuti,70,,,prima udienza,perentorio,,,calcolabile_giorni,True,backward,admin,GP_TERM_4F03F53DD6F6,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_TUTELA_MAGGIORE_GRAVE_HANDICAP_413051,Procedimenti di tutela del maggiore d'età con grave handicap (interdizione/inabilitazione - controversie),Volontaria giurisdizione - protezione - misure incapacitanti,"Controversie su interdizione/inabilitazione: opposizione apertura, revoca, sostituzione tutore/curatore",Rito camerale ex artt. 712 e ss. c.p.c. con partecipazione PM obbligatoria,deposito,Decisione del Tribunale,90,,,deposito ricorso,ordinatorio,,,calcolabile_giorni,True,forward,admin,GP_TERM_37C8E52F9C9E,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_TUTELA_MAGGIORE_GRAVE_HANDICAP_413051,Procedimenti di tutela del maggiore d'età con grave handicap (interdizione/inabilitazione - controversie),Volontaria giurisdizione - protezione - misure incapacitanti,"Controversie su interdizione/inabilitazione: opposizione apertura, revoca, sostituzione tutore/curatore",Rito camerale ex artt. 712 e ss. c.p.c. con partecipazione PM obbligatoria,impugnazione,Reclamo Corte d'Appello,30,,,comunicazione decreto,perentorio,art. 720-bis c.p.c.,,calcolabile_giorni,True,forward,admin,GP_TERM_4029DFF18C8C,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_RISOLUZIONE_MUTUO_DECADENZA_TERMINE_142001,Risoluzione contratto di mutuo + decadenza dal beneficio del termine (art. 1186 c.c.),Contratti bancari e finanziari,Azione della banca per decadenza dal termine e risoluzione del mutuo per inadempimento del mutuatario,Rito ordinario di cognizione (frequente uso di rito monitorio - decreto ingiuntivo),prescrizione_decadenza,Prescrizione azione risoluzione contrattuale,,,10,inadempimento,prescrizione,art. 2946 c.c.,,termine_lungo_o_prescrizione,False,forward,admin,GP_TERM_3266BE52A31C,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_RISOLUZIONE_MUTUO_DECADENZA_TERMINE_142001,Risoluzione contratto di mutuo + decadenza dal beneficio del termine (art. 1186 c.c.),Contratti bancari e finanziari,Azione della banca per decadenza dal termine e risoluzione del mutuo per inadempimento del mutuatario,Rito ordinario di cognizione (frequente uso di rito monitorio - decreto ingiuntivo),prescrizione_decadenza,Prescrizione delle singole rate,,,10,scadenza singola rata,prescrizione,,,termine_lungo_o_prescrizione,False,forward,admin,GP_TERM_7A0368F87FFD,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_RISOLUZIONE_MUTUO_DECADENZA_TERMINE_142001,Risoluzione contratto di mutuo + decadenza dal beneficio del termine (art. 1186 c.c.),Contratti bancari e finanziari,Azione della banca per decadenza dal termine e risoluzione del mutuo per inadempimento del mutuatario,Rito ordinario di cognizione (frequente uso di rito monitorio - decreto ingiuntivo),procedimentale,Mediazione obbligatoria - max,90,,,,,,,calcolabile_giorni,True,forward,admin,GP_TERM_E3A18DC46F0C,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_RISOLUZIONE_MUTUO_DECADENZA_TERMINE_142001,Risoluzione contratto di mutuo + decadenza dal beneficio del termine (art. 1186 c.c.),Contratti bancari e finanziari,Azione della banca per decadenza dal termine e risoluzione del mutuo per inadempimento del mutuatario,Rito ordinario di cognizione (frequente uso di rito monitorio - decreto ingiuntivo),costituzione,Termine a comparire,120,,,,minimo legale post-Cartabia,,,calcolabile_giorni,True,forward,admin,GP_TERM_4C254B0C469F,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_RISOLUZIONE_MUTUO_DECADENZA_TERMINE_142001,Risoluzione contratto di mutuo + decadenza dal beneficio del termine (art. 1186 c.c.),Contratti bancari e finanziari,Azione della banca per decadenza dal termine e risoluzione del mutuo per inadempimento del mutuatario,Rito ordinario di cognizione (frequente uso di rito monitorio - decreto ingiuntivo),costituzione,Costituzione convenuto,70,,,prima udienza,perentorio,,,calcolabile_giorni,True,backward,admin,GP_TERM_6362C0D6C864,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_OPPOSIZIONE_PRECETTO_199001,Opposizione a precetto (art. 615 c. 1 c.p.c.),Opposizioni esecutive - pre-esecutiva,"Opposizione all'esecuzione PRIMA dell'inizio dell'esecuzione (post-precetto, pre-pignoramento)",Rito ordinario di cognizione + possibile inibitoria,notifica,Termine per inizio esecuzione dal precetto,90,,,notifica precetto,decadenziale,art. 481 c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_F94B4C310CF9,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_OPPOSIZIONE_PRECETTO_199001,Opposizione a precetto (art. 615 c. 1 c.p.c.),Opposizioni esecutive - pre-esecutiva,"Opposizione all'esecuzione PRIMA dell'inizio dell'esecuzione (post-precetto, pre-pignoramento)",Rito ordinario di cognizione + possibile inibitoria,impugnazione,Opposizione 615 c. 1 - PRIMA dell'esecuzione,,,,,fino a inizio esecuzione,,rilevante per scelta del rito,informativo_non_calcolabile,False,forward,civil,GP_TERM_17EE2D716526,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_OPPOSIZIONE_PRECETTO_199001,Opposizione a precetto (art. 615 c. 1 c.p.c.),Opposizioni esecutive - pre-esecutiva,"Opposizione all'esecuzione PRIMA dell'inizio dell'esecuzione (post-precetto, pre-pignoramento)",Rito ordinario di cognizione + possibile inibitoria,costituzione,Termine a comparire,120,,,,minimo legale post-Cartabia,,,calcolabile_giorni,True,forward,civil,GP_TERM_209FDE8EBA05,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_OPPOSIZIONE_PRECETTO_199001,Opposizione a precetto (art. 615 c. 1 c.p.c.),Opposizioni esecutive - pre-esecutiva,"Opposizione all'esecuzione PRIMA dell'inizio dell'esecuzione (post-precetto, pre-pignoramento)",Rito ordinario di cognizione + possibile inibitoria,costituzione,Costituzione convenuto,70,,,prima udienza,perentorio,,,calcolabile_giorni,True,backward,civil,GP_TERM_541D93CFF45E,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte2.json,GUIDA_OPPOSIZIONE_PRECETTO_199001,Opposizione a precetto (art. 615 c. 1 c.p.c.),Opposizioni esecutive - pre-esecutiva,"Opposizione all'esecuzione PRIMA dell'inizio dell'esecuzione (post-precetto, pre-pignoramento)",Rito ordinario di cognizione + possibile inibitoria,impugnazione,Appello,30,,,notifica sentenza,perentorio,,,calcolabile_giorni,True,forward,civil,GP_TERM_5AA568304F7B,Importabile come template giorni se evento generatore e' valorizzato.
